Engelse naam/Food name,Hoeveelheid/Quantity,FAT (g),PROT (g),Carbohydrates (kcal),VITB1 (mg),RIBF (mg),VITB6 (mg),VITB12 (µg),VITD (µg),VITE (mg),VITC (mg),VITA (µg),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),food_group
Fritter banana,per 100g,"20,6","2,9",281,"0,04","0,07","0,156","0,12",0,10,3.0,13.0,30.0,"0,3",18.0,54.0,221.0,12.0,"0,33",Drop
Gateau fatless sponge w marzipan,per 100g,18,"4,8",342,"0,07","0,17","0,035","0,24","0,3","2,6",0.0,105.0,64.0,"0,7",33.0,154.0,167.0,48.0,"0,57",Drop
Nuts cake,per 100g,"27,2","7,7",464,"0,09","0,1","0,091","0,2","0,2","2,9",0.0,189.0,44.0,"1,2",50.0,152.0,189.0,124.0,"1,04",Drop
Rice drink wo sugar  fortified w calcium and vitamines,per 100g,"0,7","0,3",53,"0,01","0,01","0,005","0,31","0,7","0,6",0.0,0.0,89.0,0,2.0,6.0,10.0,37.0,"0,07",Substitudes
Soft drink w sugar and sweetener 2-<5 g CHO wo caffeine,per 100g,0,0,12,0,0,0,0,0,0,0.0,0.0,2.0,0,0.0,0.0,1.0,0.0,0,Drop
Juice drink w sugar and sweetener 4-6 g CHO,per 100g,0,0,18,0,0,0,0,0,0,5.0,0.0,5.0,0,1.0,2.0,14.0,3.0,0,Drop
Juice drink Capri-Sun Multivitamin,per 100g,0,0,20,"0,17",0,"0,21",0,0,"1,8",5.0,0.0,5.0,0,1.0,2.0,14.0,1.0,0,Drop
Fruit drink conc diluted 1 to 7,per 100g,0,0,28,0,0,0,0,0,0,0.0,0.0,4.0,0,1.0,0.0,10.0,2.0,"0,01",Drop
Tea herbal instant sweetend prepared,per 100g,0,0,19,0,0,0,0,0,0,0.0,0.0,5.0,0,1.0,0.0,0.0,0.0,0,Drop
Sauce butter-,per 100g,"18,3","0,6",180,"0,01","0,01","0,004","0,07","0,1","0,6",0.0,203.0,5.0,"0,1",1.0,10.0,15.0,295.0,"0,06",Drop
Sauce w semi-skimmed milk and cornflour,per 100g,"1,4","3,2",57,"0,03","0,18","0,032","0,44",0,0,1.0,15.0,119.0,"0,1",12.0,101.0,154.0,41.0,"0,41",Drop
Gravy 25% fat clear prep w gravy instant powder ,per 100g,"22,9",1,230,0,0,0,0,"1,7","5,5",0.0,149.0,6.0,0,1.0,5.0,10.0,699.0,0,Drop
Gravy 50% fat clear prepared w gravy instant powder,per 100g,"45,1","1,1",431,0,0,0,0,"3,4",11,0.0,299.0,7.0,0,1.0,11.0,19.0,788.0,0,Drop
Gravy 25% fat thickend prep w gravy instant powder ,per 100g,"22,3",1,233,0,0,0,0,"1,7","5,3",0.0,145.0,6.0,"0,1",1.0,6.0,10.0,680.0,"0,01",Drop
Gravy 25% fat thickend prep wo gravy instant powder ,per 100g,"23,5","0,1",223,0,0,0,0,"1,8","5,8",0.0,158.0,6.0,"0,1",1.0,6.0,10.0,97.0,"0,01",Drop
Gravy 50% fat thickend prep wo gravy instant powder,per 100g,"47,1","0,2",436,0,0,0,0,"3,6","11,6",0.0,316.0,8.0,"0,1",1.0,12.0,21.0,192.0,"0,01",Drop
Gravy 75% fat thickend prep wo gravy instant powder,per 100g,"70,6","0,4",650,0,0,0,0,"5,4","17,4",0.0,474.0,9.0,"0,1",2.0,18.0,31.0,287.0,"0,01",Drop
Sauce Aardappel Anders av,per 100g,"16,6","1,5",171,"0,02","0,02","0,025","0,06",0,"3,5",2.0,23.0,27.0,"0,1",4.0,32.0,51.0,453.0,"0,24",Drop
Gravy 5% fat thickend prep wo gravy instant powder,per 100g,"4,7",0,53,0,0,0,0,"0,4","1,2",0.0,32.0,5.0,0,1.0,2.0,2.0,21.0,"0,01",Drop
Peanutsauce homemade w s-sk milk wo fat,per 100g,22,"10,2",297,"0,07","0,12","0,034","0,17",0,"4,7",1.0,10.0,70.0,"1,2",64.0,167.0,303.0,510.0,"1,2",Drop
Peanutsauce homemade w water milk wo fat,per 100g,"21,4","8,9",280,"0,06","0,05","0,021",0,0,"4,7",1.0,4.0,26.0,"1,1",59.0,128.0,243.0,494.0,"1,04",Drop
Gravy 50% fat clear prep wo gravy instant powder,per 100g,"48,5","0,3",439,0,0,0,0,"3,7",12,0.0,325.0,7.0,0,1.0,12.0,21.0,197.0,0,Drop
Gravy 75% fat clear prep wo gravy instant powder,per 100g,"72,7","0,4",658,0,0,0,0,"5,6","17,9",0.0,488.0,9.0,"0,1",2.0,17.0,32.0,295.0,0,Drop
Gravy 50% fat thickend prep w gravy instant powder,per 100g,"43,9","1,1",429,0,0,0,0,"3,3","10,7",0.0,291.0,7.0,"0,1",1.0,11.0,19.0,768.0,"0,01",Drop
Gravy 5% fat clear prep wo gravy instant powder,per 100g,"4,8",0,44,0,0,0,0,"0,4","1,2",0.0,33.0,5.0,0,1.0,1.0,2.0,21.0,0,Drop
Salad dressing vinaigrette,per 100g,"64,8","0,6",593,"0,01",0,"0,003",0,0,"18,5",0.0,0.0,7.0,"0,1",5.0,6.0,18.0,693.0,"0,08",Drop
Sauce for chips approx 13% oil,per 100g,"13,1","0,3",158,"0,01","0,01","0,004",0,0,"2,5",0.0,4.0,10.0,"0,2",2.0,17.0,30.0,510.0,"0,21",Drop
Salad dressing honey/mustard,per 100g,26,"1,2",299,"0,05","0,01","0,013","0,04","0,1","6,8",0.0,6.0,18.0,"0,4",14.0,17.0,32.0,640.0,"0,23",Drop
Sauce for chips 5% oil,per 100g,"5,3","0,8",100,"0,01","0,01","0,002","0,07",0,1,0.0,1.0,8.0,"0,2",2.0,17.0,45.0,760.0,"0,11",Drop
Oil wok,per 100g,100,0,900,0,0,0,0,0,"7,8",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Fats
Herb paste boemboe,per 100g,"20,4",4,306,"0,01","0,01","0,036",0,0,"5,2",6.0,0.0,9.0,"0,2",3.0,13.0,61.0,1721.0,"0,09",Drop
Coffee cappuccino freshly made,per 100g,"1,7","1,8",31,"0,02","0,1","0,016","0,2",0,0,0.0,19.0,64.0,"0,1",9.0,52.0,121.0,22.0,"0,23",Drop
Coffee cappuccino instant prepared,per 100g,"1,3","1,2",37,"0,02","0,08","0,024","0,25",0,"0,1",0.0,7.0,63.0,"0,1",10.0,50.0,121.0,30.0,"0,2",Drop
Coffee cappuccino instant powder,per 100g,"14,9","13,9",407,"0,25","0,92","0,263","2,78",0,"0,6",4.0,82.0,648.0,"0,6",106.0,551.0,1342.0,313.0,"2,16",Drop
Energy drink Golden Power/Bullit/Freeway,per 100g,0,"0,2",44,0,0,"0,32","0,4",0,0,0.0,2.0,2.0,0,0.0,0.0,1.0,75.0,0,Drop
Fruit juice drink ACE,per 100g,0,"0,2",44,"0,02","0,01","0,024",0,0,6,36.0,263.0,5.0,"0,1",3.0,6.0,55.0,40.0,"0,03",Drop
Soup veg & meat based ready made,per 100g,"1,2",2,41,"0,01","0,02","0,028","0,03","0,1","0,6",2.0,8.0,13.0,"0,4",5.0,21.0,112.0,324.0,"0,15",Drop
Soup vegetable & meat based prepared pack,per 100g,"0,5","0,6",18,"0,01","0,01","0,02","0,03","0,1","0,1",1.0,5.0,5.0,"0,3",5.0,50.0,43.0,296.0,"0,1",Drop
Fruit juice drink multivit 12 fruits nectar light,per 100g,0,"0,2",23,"0,35","0,4","0,5","0,25",0,"2,5",15.0,50.0,6.0,"0,1",4.0,6.0,65.0,3.0,"0,07",Drop
Fruit juice drink w sweetener 5-<8 g CHO,per 100g,0,"0,1",28,"0,03","0,02","0,035",0,0,0,6.0,0.0,6.0,"0,1",4.0,6.0,65.0,0.0,"0,07",Drop
Potato puree powder wo milkpowder wo fat,per 100g,"0,5","7,9",364,"0,19","0,11","0,748",0,0,0,5.0,1.0,27.0,"1,2",66.0,156.0,1098.0,460.0,"0,7",Bread
Milk chocolate-flavoured w s-sk milk and sweetened cocoa powder,per 100g,"1,6","3,5",78,"0,03","0,17","0,054","0,41",0,0,1.0,14.0,115.0,"0,8",22.0,109.0,249.0,47.0,"0,56",Dairy
Dairy drink Campina Fruitmelk,per 100g,"0,5","3,3",54,"0,03","0,14","0,03","0,25",0,0,2.0,14.0,109.0,0,11.0,80.0,135.0,44.0,"0,37",Dairy
Tomato sieved pack,per 100g,"0,3","1,8",39,"0,04","0,02","0,078",0,0,"1,2",11.0,69.0,11.0,"0,5",9.0,21.0,283.0,110.0,"0,17",Vegetables
Potato puree powder w milkpowder w fat,per 100g,"8,6","9,2",373,"0,13","0,22","1,7",0,0,"0,4",5.0,0.0,80.0,"1,6",70.0,397.0,1700.0,160.0,"1,2",Bread
Yoghurt half fat w fruit,per 100g,"1,5","4,2",79,"0,01","0,19","0,028","0,23",0,"0,1",1.0,18.0,119.0,0,12.0,89.0,159.0,47.0,"0,41",Dairy
Yoghurt Greek full fat,per 100g,10,"3,8",122,"0,02","0,16","0,027","0,22",0,"0,3",0.0,110.0,118.0,0,11.0,99.0,145.0,53.0,"0,43",Dairy
Quark full fat w fruit,per 100g,"5,1","5,7",125,"0,01","0,17","0,032","0,4","0,1","0,1",0.0,54.0,112.0,0,10.0,105.0,136.0,33.0,"0,44",Dairy
Fruit dried in brandy,per 100g,"0,1","0,6",201,"0,02","0,02","0,024",0,0,"0,3",1.0,29.0,12.0,"0,5",9.0,16.0,179.0,5.0,"0,11",Drop
Juice multifruit,per 100g,"0,1","0,4",47,"0,03","0,01","0,043",0,0,"0,1",12.0,7.0,11.0,"0,2",9.0,13.0,136.0,2.0,"0,07",Drop
Cider,per 100g,0,"0,1",55,0,"0,01","0,021",0,0,0,0.0,0.0,10.0,"0,4",7.0,8.0,93.0,4.0,"0,03",Drop
Fruit juice concentrated prepared,per 100g,0,0,39,0,0,0,0,0,0,0.0,0.0,11.0,0,5.0,0.0,93.0,3.0,0,Drop
Fruit juice drink Surango multivit nectar light,per 100g,0,"0,2",21,"0,2","0,2","0,3","0,15",0,"1,5",9.0,20.0,6.0,"0,1",4.0,6.0,65.0,0.0,"0,08",Drop
Cheese spread 15+ Balans ERU,per 100g,"5,5","17,3",132,"0,02","0,4","0,011","0,32","0,1","0,2",1.0,104.0,580.0,"0,1",17.0,624.0,160.0,750.0,"1,76",Dairy
Cheese spread Kids ERU,per 100g,"11,1",15,169,"0,03","0,2","0,014","0,6","0,2","0,4",1.0,164.0,800.0,"0,1",21.0,781.0,116.0,750.0,3,Dairy
Cheese goat hard,per 100g,"32,5","22,4",396,"0,01","0,15","0,066","0,15",0,"0,8",0.0,322.0,806.0,"0,2",46.0,605.0,117.0,757.0,"3,7",Dairy
Custard half fat all flavours,per 100g,"1,7","2,3",85,"0,02","0,17","0,028","0,26",0,0,0.0,16.0,89.0,0,9.0,69.0,121.0,53.0,"0,3",Dairy
Pudding airy,per 100g,"8,1","4,2",179,"0,02","0,13","0,028","0,37",0,"0,4",0.0,77.0,83.0,"0,3",12.0,84.0,134.0,60.0,"0,31",Dairy
Porridge milk w wheat flour white Lammetjespap,per 100g,"3,2","3,9",83,"0,04","0,17","0,04","0,37",0,"0,1",0.0,34.0,116.0,"0,1",13.0,104.0,163.0,38.0,"0,47",Dairy
Custard 2 flavours w syrup vlaflip Campina,per 100g,"2,6","2,9",96,"0,02","0,13","0,025","0,19",0,"0,1",0.0,40.0,117.0,0,8.0,54.0,121.0,66.0,"0,23",Dairy
Biscuit savoury Sultana Crunchers,per 100g,"10,3","8,5",413,"0,07","0,05","0,1","0,05",0,5,1.0,3.0,43.0,"0,9",20.0,100.0,213.0,1067.0,"0,64",Drop
Croutons,per 100g,"22,3","11,8",491,"0,06","0,11","0,055",0,0,"8,4",0.0,0.0,20.0,"1,4",20.0,101.0,173.0,988.0,"0,7",Bread
Potato crisps oven baked,per 100g,"9,3","6,4",411,"0,21","0,08","0,72",0,0,"4,3",11.0,13.0,27.0,"2,3",60.0,150.0,990.0,420.0,"1,3",Drop
Maltesers,per 100g,"24,3","8,3",500,"0,05","0,2","0,03",0,0,"1,7",0.0,81.0,110.0,"1,2",48.0,150.0,270.0,171.0,"0,8",Drop
Chocolate flakes av,per 100g,"14,9","5,5",452,"0,06","0,2","0,044","0,49",0,"1,1",0.0,32.0,87.0,"5,5",78.0,162.0,435.0,48.0,"0,42",Drop
Liquorice sugar-free,per 100g,"0,2",1,167,0,0,0,0,0,0,0.0,0.0,132.0,"3,5",35.0,22.0,314.0,60.0,"0,29",Drop
Wine gum w liquorice,per 100g,"0,2","3,5",334,0,0,0,0,0,0,0.0,0.0,6.0,"0,2",1.0,10.0,2.0,22.0,0,Drop
Cocoa powder sweetened Nesquik,per 100g,3,5,376,"0,7","0,1","0,24",0,11,"0,1",95.0,0.0,38.0,17,113.0,170.0,850.0,160.0,"7,6",Drop
"Dessert made of custard, yoghurt & syrup",per 100g,"1,5","3,4",77,"0,03","0,14","0,03","0,31",0,0,1.0,14.0,117.0,0,10.0,73.0,115.0,52.0,"0,42",Dairy
Blancmange home-made w semi-sk milk,per 100g,"1,2","2,9",91,"0,03","0,16","0,029","0,39",0,0,0.0,14.0,140.0,0,11.0,185.0,138.0,174.0,"0,7",Dairy
Custard soft & airy ,per 100g,"7,4","2,9",142,"0,03","0,16","0,03","0,21",0,"0,1",2.0,40.0,110.0,0,11.0,81.0,135.0,51.0,"0,23",Dairy
Soup noodle prepared,per 100g,"3,4","1,7",86,"0,01","0,01","0,015",0,0,"1,6",0.0,3.0,8.0,"0,2",7.0,24.0,31.0,365.0,"0,23",Drop
Sausage luncheon meat vegetarian fortified w iron and vit B12,per 100g,"14,7","6,6",181,"0,01","0,07","0,005","1,28",0,"6,4",7.0,0.0,48.0,"4,3",12.0,85.0,400.0,680.0,"0,45",Substitudes
Chinese noodle ball frozen unprepared,per 100g,"2,8","5,8",165,"0,05","0,03","0,07","0,11","0,2","2,2",6.0,6.0,39.0,"1,7",7.0,85.0,164.0,467.0,"1,21",Drop
Croquette meat ragout frozen unprep,per 100g,"8,7","7,6",187,"0,08","0,05","0,03","0,34",0,"3,5",0.0,4.0,13.0,1,16.0,71.0,110.0,535.0,"1,1",Drop
Spring roll frozen unprepared,per 100g,"4,5","6,1",152,"0,09","0,08","0,085","0,17","0,4","1,2",5.0,9.0,34.0,1,16.0,81.0,143.0,400.0,"0,73",Drop
Croissant ham and cheese,per 100g,"20,6","11,2",377,"0,1","0,12","0,045","0,19",0,"1,7",2.0,29.0,83.0,"0,7",19.0,138.0,135.0,512.0,"1,03",Bread
Chicken sticks breaded frozen unprepared,per 100g,"19,7","11,5",295,"0,06","0,1","0,152","0,12",0,"2,2",0.0,0.0,7.0,"0,5",12.0,97.0,142.0,640.0,"0,91",Drop
Cheese pastry w puff pastry,per 100g,"44,7","9,2",580,"0,28","0,26","0,091","0,28",0,"0,2",0.0,48.0,128.0,"0,5",13.0,119.0,54.0,610.0,"0,76",Drop
Viandel unprepared Mora,per 100g,"21,3","9,5",301,"0,08","0,09","0,114","0,11","0,2","1,6",1.0,1.0,12.0,"0,7",13.0,101.0,159.0,1000.0,"0,99",Drop
Biscuit LU Time Out,per 100g,"20,8","7,6",484,"0,07","0,03","0,027",0,0,"1,5",0.0,0.0,30.0,"1,8",50.0,180.0,213.0,465.0,"1,5",Drop
Margarine 80% fat >24 g sat fa unsalted,per 100g,"80,2","0,2",724,0,0,0,0,"7,5",30,0.0,800.0,10.0,"0,1",2.0,23.0,42.0,7.0,0,Fats
Margarine liq 80% fat <17g sat fa unsalted,per 100g,82,0,738,0,0,0,0,"7,5","25,4",0.0,800.0,10.0,"0,1",2.0,23.0,42.0,10.0,0,Fats
Low fat margarine prod Bewust light 30% fat <10g sat fa unsalted,per 100g,30,"0,1",275,0,0,0,0,"7,5","8,1",0.0,800.0,10.0,"0,1",2.0,23.0,15.0,10.0,0,Fats
Apple turnover w puff pastry wo butter,per 100g,"22,4","3,5",360,"0,16","0,13","0,067",0,0,"0,1",1.0,1.0,11.0,"0,5",8.0,32.0,103.0,286.0,"0,2",Drop
Soup thickened no filling,per 100g,3,"0,6",40,0,"0,01","0,005","0,02",0,"0,1",0.0,30.0,5.0,"0,1",1.0,8.0,14.0,367.0,"0,05",Drop
Cooking fat liq 97% fat <17g sat fa unsalted,per 100g,"97,7","0,4",883,0,0,0,0,"7,5","23,9",0.0,795.0,10.0,"0,1",2.0,23.0,42.0,43.0,0,Fats
Cooking fat sol 97% fat >17g sat fa unsalted,per 100g,"97,3","0,4",880,0,0,0,0,"7,5",21,0.0,800.0,10.0,"0,1",2.0,23.0,42.0,16.0,0,Fats
Margarine 80% fat <24 g sat fa unsalted,per 100g,80,0,720,0,0,0,0,"7,5",33,0.0,800.0,10.0,"0,1",2.0,23.0,42.0,0.0,0,Fats
Low fat marg 40% fat <17 g sat fa unsalted,per 100g,40,0,360,0,0,0,0,"7,5",16,0.0,800.0,10.0,"0,1",2.0,23.0,42.0,0.0,0,Fats
Low fat margarine prod AH chol reducing,per 100g,35,0,317,0,0,0,0,"7,5",18,0.0,800.0,10.0,"0,1",2.0,23.0,42.0,0.0,0,Fats
Flan w custard and crumble topping,per 100g,10,"5,3",283,"0,05","0,11","0,065","0,3","0,9","2,3",0.0,106.0,55.0,"0,6",12.0,96.0,115.0,205.0,"0,54",Drop
Cake Dutch spiced Ontbijtkoek w nuts & fruit,per 100g,"6,9","4,5",343,"0,07","0,05","0,049",0,"0,1","1,5",0.0,1.0,33.0,"1,2",40.0,140.0,253.0,189.0,"0,91",Drop
Flan w custard and fruit,per 100g,"3,6","2,9",145,"0,04","0,08","0,061","0,18","0,2","0,8",3.0,73.0,41.0,"0,5",10.0,63.0,166.0,120.0,"0,33",Drop
Cake w Dutch Amaretti Bitterkoekjes,per 100g,"21,3","5,8",396,"0,04","0,1","0,054","0,35","2,1","2,7",0.0,224.0,25.0,"0,9",14.0,90.0,96.0,373.0,"0,57",Drop
Sauce garlic 20-<30% oil,per 100g,21,"0,8",246,"0,01","0,01","0,004","0,5",0,"6,6",0.0,5.0,10.0,"0,2",2.0,17.0,22.0,550.0,"0,26",Drop
Potatoes mashed fresh prep w whole milk and margarin,per 100g,"2,3","2,2",87,"0,06","0,06","0,145","0,1","0,1","0,4",7.0,21.0,38.0,"0,4",17.0,56.0,293.0,21.0,"0,36",Bread
Cake apple made w butter,per 100g,"13,7","3,6",261,"0,03","0,07","0,047","0,15","0,3","1,2",1.0,119.0,23.0,"0,5",8.0,105.0,119.0,278.0,"0,37",Drop
Gravy 5% fat thickend prep w gravy instant powder,per 100g,5,"0,9",76,0,0,0,0,"0,3","1,1",0.0,29.0,5.0,0,1.0,2.0,2.0,610.0,"0,01",Drop
Pancake wholemeal homemade prepared w liquid margarin,per 100g,"6,1","7,3",175,"0,15","0,17","0,137","0,36","0,5","0,3",0.0,63.0,84.0,"1,4",47.0,193.0,181.0,56.0,"1,25",Bread
Pancake wholemeal homemade prepared w margarin,per 100g,6,"7,3",175,"0,15","0,17","0,137","0,36","0,5","1,8",0.0,63.0,84.0,"1,4",47.0,192.0,179.0,60.0,"1,25",Bread
Biscuit peanut,per 100g,"28,4","10,6",513,"0,08","0,06","0,06","0,02","0,1","3,3",0.0,54.0,45.0,"1,5",73.0,213.0,331.0,211.0,"1,29",Drop
Gravy 25% fat clear prep wo gravy instant powder,per 100g,"24,2","0,1",219,0,0,0,0,"1,9",6,0.0,163.0,6.0,0,1.0,6.0,11.0,100.0,0,Drop
Candybar KitKat,per 100g,"27,7","7,1",520,"0,08","0,15","0,029","0,29",0,"1,6",1.0,25.0,86.0,"2,4",53.0,178.0,405.0,84.0,"0,99",Drop
Salad dressing olive oil-vinegar,per 100g,"66,4","0,4",607,"0,01",0,"0,003",0,0,"3,4",0.0,3.0,4.0,"0,1",5.0,6.0,18.0,60.0,"0,08",Drop
Biscuit w nuts and chocolate,per 100g,"28,7","7,5",517,"0,09","0,12","0,038",0,"0,1","3,8",0.0,50.0,95.0,3,67.0,230.0,292.0,283.0,"1,27",Drop
Biscuits w nuts,per 100g,"24,1","6,6",509,"0,09","0,08","0,052","0,03","0,1","3,1",0.0,64.0,54.0,"1,6",48.0,173.0,243.0,215.0,"0,96",Drop
Wine rose,per 100g,0,"0,1",71,0,"0,01","0,02",0,0,0,0.0,0.0,12.0,1,7.0,6.0,75.0,4.0,0,Drop
Sauce Joppie,per 100g,28,"0,8",346,"0,01","0,01","0,004",0,"0,1",5,0.0,39.0,8.0,"0,2",2.0,17.0,45.0,559.0,"0,11",Drop
Tapenade olive,per 100g,"32,2","1,8",324,"0,02","0,01","0,04","0,01",0,"8,2",1.0,39.0,37.0,"1,2",16.0,18.0,121.0,1010.0,"0,17",Drop
Salsa tomato dip,per 100g,"0,2","0,9",45,0,"0,05",0,0,0,0,1.0,33.0,10.0,"0,5",12.0,19.0,125.0,725.0,0,Drop
Vinegar,per 100g,0,"0,4",22,0,0,0,0,0,0,0.0,0.0,3.0,"0,1",4.0,10.0,34.0,5.0,"0,1",Drop
Bread stuffed Bapao meat,per 100g,"6,6","8,9",251,"0,14","0,07","0,156","0,25","0,1",1,1.0,6.0,21.0,1,20.0,110.0,168.0,364.0,"1,2",Drop
Meatball Berenklauw unprepared,per 100g,"9,4","11,4",155,"0,18","0,1","0,223","0,7","0,4","0,3",6.0,15.0,19.0,"0,9",15.0,112.0,247.0,707.0,"1,88",Drop
Appel pie Dutch w shortbread w butter,per 100g,"9,2","2,4",223,"0,03","0,03","0,048","0,1","0,1","0,6",2.0,106.0,15.0,"0,4",9.0,39.0,139.0,61.0,"0,23",Drop
Coffee instant powder,per 100g,"0,2","7,8",114,0,"0,11","0,03",0,0,0,0.0,0.0,160.0,"4,4",390.0,350.0,4000.0,100.0,"0,57",Drop
Fruit juice drink minimal 2 fruits fortified w vit C,per 100g,"0,1","0,2",48,"0,02","0,01","0,033",0,0,0,16.0,10.0,7.0,"0,1",5.0,8.0,90.0,0.0,"0,07",Drop
Smoothie fruit,per 100g,"0,2","0,7",56,"0,03","0,02","0,022",0,0,0,30.0,14.0,10.0,"0,3",8.0,14.0,172.0,19.0,"0,07",Drop
Smoothie fruit w dairy,per 100g,"0,1","1,3",51,"0,03","0,03","0,043","0,03",0,"0,1",41.0,6.0,26.0,"0,2",9.0,24.0,138.0,0.0,"0,13",Drop
Soft drink w sugar and sweetener 2-<5 CHO w caffeine,per 100g,0,0,11,0,0,0,0,0,0,0.0,0.0,5.0,0,0.0,19.0,0.0,1.0,0,Drop
Fruit juice drink Roosvicee 50/50,per 100g,0,"0,1",17,"0,01",0,"0,011",0,0,0,6.0,2.0,6.0,"0,1",3.0,3.0,34.0,0.0,"0,02",Drop
Sports drink Aquarius,per 100g,0,0,29,0,0,"0,11",0,0,0,0.0,0.0,1.0,0,0.0,0.0,2.0,24.0,0,Drop
Coffee w sugar and milk vending machine,per 100g,"0,7","0,2",28,"0,01","0,01",0,0,0,0,0.0,1.0,3.0,"0,2",6.0,13.0,91.0,8.0,"0,01",Drop
Coffee w milk vending machine,per 100g,"0,7","0,2",12,"0,01","0,01",0,0,0,0,0.0,1.0,3.0,"0,2",6.0,13.0,94.0,8.0,"0,01",Drop
Tea herbal instant sweetend powder,per 100g,0,0,372,0,0,0,0,0,0,0.0,0.0,0.0,"0,1",2.0,0.0,4.0,7.0,"0,01",Drop
Gravy prep wo fat w gravy instant powder ,per 100g,"0,7","0,9",28,0,0,0,0,0,0,0.0,0.0,4.0,0,1.0,0.0,0.0,609.0,0,Drop
Rice cakes w spices,per 100g,"7,7","7,9",402,"0,32","0,05","0,132","0,04",0,"2,6",0.0,9.0,33.0,"0,9",116.0,305.0,273.0,756.0,"1,63",Bread
Chicken (processed meat product),per 100g,"4,4","17,5",125,"0,07","0,1","0,421","0,29","0,2","1,1",0.0,18.0,7.0,"0,7",24.0,256.0,255.0,932.0,"1,77",Meat
Yoghurt 0% fat w fruit Activia,per 100g,"0,1","4,6",53,"0,01","0,15","0,026","0,23",0,"0,1",0.0,2.0,173.0,0,11.0,82.0,146.0,40.0,"0,39",Dairy
Chocolate sprinkles mix white and dark,per 100g,"14,7","3,2",449,"0,05","0,15","0,025","0,37",0,"0,8",0.0,24.0,76.0,"6,3",93.0,173.0,602.0,33.0,"1,19",Drop
Spread duo w chocolate,per 100g,"36,5","1,8",576,"0,03","0,23","0,03","0,58",0,"0,2",0.0,12.0,97.0,"1,7",42.0,120.0,302.0,39.0,"1,3",Drop
Spread duo wo chocolate,per 100g,"34,9","0,8",567,"0,01","0,05","0,016","0,15",0,"10,3",0.0,11.0,34.0,"0,1",5.0,27.0,51.0,73.0,"0,12",Drop
Sweets jelly/gums/foam,per 100g,"0,2","4,9",336,0,0,0,0,0,0,0.0,0.0,6.0,"0,2",1.0,10.0,2.0,0.0,0,Drop
Wine gums w foam layer,per 100g,0,"4,8",333,0,0,0,0,0,0,0.0,0.0,6.0,"0,2",1.0,10.0,2.0,7.0,0,Drop
Waffle Luikse,per 100g,"21,3","5,7",446,"0,04","0,09","0,056","0,33","2,3","6,8",0.0,251.0,16.0,"0,8",9.0,73.0,70.0,270.0,"0,5",Drop
Waffle soft-/sugar-/flash-,per 100g,"27,3","7,6",493,"0,04","0,08","0,056","0,29","0,3",4,0.0,174.0,26.0,"0,6",10.0,71.0,86.0,297.0,"0,45",Drop
Soft drink w sugar and sweetener 5-<8 g CHO w caffeine,per 100g,0,"0,3",27,0,0,0,0,0,0,0.0,0.0,5.0,0,0.0,15.0,0.0,1.0,0,Drop
Salad dressing 20% oil w yoghurt,per 100g,"22,7","1,2",258,"0,01","0,01","0,004","0,07",0,"7,8",0.0,5.0,10.0,"0,2",2.0,17.0,22.0,591.0,"0,26",Drop
Energy drink Red Bull,per 100g,0,0,44,0,"0,21","0,2","0,4",0,0,0.0,0.0,5.0,0,0.0,16.0,0.0,40.0,0,Drop
Energy drink Red Bull sugarfree,per 100g,0,0,0,0,"0,21","0,2","0,4",0,0,0.0,0.0,5.0,0,0.0,16.0,0.0,40.0,0,Drop
Muesli crunchy w nuts,per 100g,21,"8,5",479,"0,4","0,08","0,077",0,0,"4,1",0.0,4.0,52.0,"2,5",103.0,257.0,377.0,20.0,"2,2",Bread
Muesli crunchy w chocolate,per 100g,"17,1","8,5",458,"0,51","0,06","0,05","0,04",0,3,0.0,5.0,40.0,"2,5",86.0,256.0,344.0,200.0,"1,92",Bread
Muesli crunchy w nuts and chocolate,per 100g,"18,6","8,8",469,"0,45","0,07","0,061","0,02",0,"3,4",0.0,5.0,45.0,"2,6",93.0,256.0,358.0,165.0,"2,03",Bread
Dairy spread plain/herbs,per 100g,"23,9","5,1",248,"0,04","0,14","0,055","0,35","0,2",0,0.0,211.0,89.0,"0,2",8.0,107.0,124.0,252.0,"1,83",Dairy
Dairy spread plain/herbs light,per 100g,"13,8","8,1",175,"0,04","0,22","0,052","0,51","0,1","0,3",0.0,136.0,102.0,"0,4",22.0,128.0,108.0,367.0,"0,27",Dairy
Rice multi-grain boiled,per 100g,"0,6","3,6",140,"0,08","0,01","0,1",0,0,"0,3",0.0,0.0,8.0,"0,5",38.0,120.0,100.0,9.0,"0,32",Bread
Breakfast cereal Coco pops Chocos Kellogg's,per 100g,"2,5",9,381,"0,91","1,2","1,2","2,1","4,2","0,9",0.0,0.0,264.0,8,40.0,100.0,430.0,310.0,1,Bread
Breakfast cereal Spec K choc Kellogg's,per 100g,"6,2","8,1",400,"1,45","1,85","1,85","3,35",0,"0,7",0.0,1.0,65.0,"9,3",50.0,165.0,245.0,350.0,"1,5",Bread
Abricots dried and soaked,per 100g,0,"2,8",159,"0,1","0,09","0,084",0,0,"2,2",0.0,227.0,53.0,"2,2",37.0,67.0,840.0,15.0,"0,11",Fruits
