Engelse naam/Food name,Hoeveelheid/Quantity,FAT (g),PROT (g),Carbohydrates (kcal),VITB1 (mg),RIBF (mg),VITB6 (mg),VITB12 (µg),VITD (µg),VITE (mg),VITC (mg),VITA (µg),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),food_group
Toddler formula Kruidvat Standaard 2 p 100 ml,per 100ml,3,"1,4",69,"0,06","0,13","0,05","0,19","1,4","1,2",10.0,67.0,61.0,"1,1",6.0,32.0,74.0,23.0,"0,8",Drop
Toddler formula Kruidvat Standaard 3 p 100 ml,per 100ml,"3,1","1,5",71,"0,06","0,14","0,05","0,2","1,5","1,2",11.0,68.0,61.0,"1,1",7.0,36.0,80.0,23.0,"0,8",Drop
Cheese 30+ age 8 wk-4 mths,per 100g,"17,9","29,3",278,"0,01","0,27","0,045","1,78","0,2","0,5",0.0,180.0,1050.0,"0,1",40.0,640.0,78.0,565.0,5,Dairy
Cheese 30+ age 4-7 mths,per 100g,"19,8","31,9",306,"0,03","0,33","0,05","2,23","0,2","0,5",0.0,208.0,1033.0,"0,2",40.0,667.0,107.0,696.0,"4,47",Dairy
Cheese 30+ age 10-12 mths,per 100g,20,"31,7",307,"0,01","0,3","0,04","1,1","0,2","0,5",0.0,159.0,1130.0,"0,2",40.0,690.0,120.0,810.0,5,Dairy
Salad coleslaw,per 100g,"16,9","1,4",191,"0,03","0,03","0,094",0,0,"0,2",14.0,274.0,22.0,"0,3",7.0,24.0,164.0,277.0,"0,2",Drop
Plant-based alternative to cream based on soya Alpro Cuisine Light,per 100g,"4,7",2,61,"0,02","0,01","0,036",0,0,"1,9",0.0,0.0,13.0,"0,4",13.0,31.0,105.0,56.0,"0,25",Substitudes
Drink soya wo sugar fortified w calcium and vitamins,per 100g,"1,8","3,4",34,"0,02","0,21","0,052","0,38","0,8","0,4",0.0,0.0,120.0,"0,5",18.0,44.0,150.0,35.0,"0,35",Substitudes
Beans kidney red canned,per 100g,"0,7","8,2",116,"0,11","0,04","0,028",0,0,"0,2",0.0,0.0,61.0,"1,9",39.0,139.0,341.0,109.0,"1,06",Vegetables
Peas chick canned,per 100g,"2,5","7,9",140,"0,04","0,02","0,023",0,0,"1,9",6.0,4.0,53.0,"1,7",37.0,115.0,197.0,110.0,"1,3",Vegetables
